Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments,Category
micans/mcl,https://github.com/micans/mcl,FALSE,4/8/2021 17:13,"['clustering', 'markov-clustering', 'network-analysis', 'network-clustering', 'graph-clustering', 'markov-cluster-algorithm', 'mcl']",32,3,6,0,2,C,2582,0,0,4,0,244,0,0,0,
wenlinyao/EMNLP20-SubeventAcquisition,https://github.com/wenlinyao/EMNLP20-SubeventAcquisition,FALSE,9/29/2020 20:12,[],5,1,1,0,1,Python,36465,2,0,1,0,9,0,0,0,
kohpangwei/group-influence-release,https://github.com/kohpangwei/group-influence-release,FALSE,5/30/2019 19:48,[],41,6,8,0,2,Python,6263,6,2,4,0,33,0,0,0,
efabless/proton,https://github.com/efabless/proton,FALSE,10/25/2016 2:16,[],27,16,11,0,4,Perl,43511,8,2,1,0,126,0,0,0,
YcheCourseProject/CommunityDetection,https://github.com/YcheCourseProject/CommunityDetection,FALSE,11/11/2015 13:01,[],37,4,23,0,1,C,197214,0,0,3,0,92,0,0,0,
rise-lang/shine,https://github.com/rise-lang/shine,FALSE,12/20/2019 12:08,"['rise', 'shine', 'compiler']",38,10,4,0,12,Scala,11536,63,8,65,1,2805,1,0,0,
Anwarvic/Dan-Jurafsky--Chris-Manning--NLP,https://github.com/Anwarvic/Dan-Jurafsky--Chris-Manning--NLP,FALSE,12/14/2017 12:46,"['autocorrector', 'autocorrection', 'regular-expression', 'regular-expressions', 'sentiment-analysis', 'sentiment-classification', 'ner', 'named-entity-recognition', 'parsing', 'parser', 'cky-parser', 'cky-algorithm', 'cky', 'information-retrieval', 'information-extraction', 'question-answering', 'nlp', 'nlp-machine-learning', 'text-classification', 'text-processing']",152,8,53,0,1,Java,52088,0,0,1,0,26,0,0,0,
MI2DataLab/WildNLP,https://github.com/MI2DataLab/WildNLP,FALSE,3/7/2019 15:35,[],74,10,4,2,5,Python,9109,3,3,4,2,64,0,0,23,
srz-zumix/wandbox-api,https://github.com/srz-zumix/wandbox-api,FALSE,12/24/2014 8:31,"['python', 'wandbox', 'wandbox-api', 'wandbox-cxx']",6,2,1,38,3,Python,352,2,0,2,38,270,0,0,0,
futurulus/colors-in-context,https://github.com/futurulus/colors-in-context,FALSE,3/11/2018 6:53,[],10,1,0,0,6,OpenEdge ABL,53896,0,0,1,0,819,0,0,0,
johandry/CKAD,https://github.com/johandry/CKAD,FALSE,11/4/2019 5:02,[],15,3,32,0,1,Shell,3001,0,0,1,0,39,0,0,0,
huawei-noah/SMARTS,https://github.com/huawei-noah/SMARTS,FALSE,10/7/2020 2:11,"['reinforcement-learning', 'python']",663,14,151,19,12,Python,299801,307,23,61,22,338,1,0,0,
ad-si/RosettaGit,https://github.com/ad-si/RosettaGit,FALSE,10/26/2019 23:41,"['chrestomathy', 'polyglot', 'omniglot', 'comparison', 'programming-languages']",184,12,13,0,4,HTML,68419,22,1,1,0,45,0,0,0,
codalab/worksheets-examples,https://github.com/codalab/worksheets-examples,FALSE,10/27/2018 21:14,[],36,13,17,0,7,Python,6429,6,0,3,0,61,0,0,0,
rktamplayo/AutoSense,https://github.com/rktamplayo/AutoSense,FALSE,11/2/2018 15:55,"['word-sense-induction', 'word-sense-disambiguation', 'word-sense', 'topic-modeling', 'topic-models', 'topic-model', 'latent-dirichlet-allocation']",13,2,5,0,1,Java,5302,0,0,1,0,5,0,0,0,
rajammanabrolu/StoryRealization,https://github.com/rajammanabrolu/StoryRealization,FALSE,8/20/2019 21:18,[],28,1,9,0,2,Python,3981,1,0,1,0,5,0,0,0,
stanfordnlp/color-describer,https://github.com/stanfordnlp/color-describer,FALSE,6/10/2016 8:08,[],26,14,18,0,2,OpenEdge ABL,5414,0,0,1,0,355,0,0,0,
Bowie-State-University/CS-Courses,https://github.com/Bowie-State-University/CS-Courses,FALSE,12/18/2015 2:48,[],11,2,17,0,1,C++,1159951,0,0,1,0,54,0,0,0,
