Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
srafay/Machine_Learning_A-Z,https://github.com/srafay/Machine_Learning_A-Z,False,2017-08-22 13:55:27,"['datascience', 'dataprocessing', 'machine-learning-algorithms', 'machine-learning-az', 'simple-linear-regression', 'multiple-regression', 'polynomial-regression', 'support-vector-regression', 'decision-tree-regression', 'random-forest-regressor', 'classification-algorithims', 'logistic-regression', 'k-nearest-neighbors', 'support-vector-machine', 'kernel-svm', 'naive-bayes-classifier', 'decision-tree-classifier', 'random-forest-classifier', 'k-means-clustering', 'k-means-implementation-in-python']",260,14,157,0,3,Python,11362,1,1,1,0,32,0,0,0
titech-nlp/pinpoint-weather,https://github.com/titech-nlp/pinpoint-weather,False,2021-01-12 05:01:36,[],5,2,1,0,1,Python,67,0,0,2,0,11,0,0,0
RUCAIBox/TextBox,https://github.com/RUCAIBox/TextBox,False,2020-11-08 07:35:46,"['text-generation', 'natural-language-processing', 'deep-learning', 'pretrained-models', 'python', 'pytorch', 'seq2seq']",416,11,73,2,17,Python,15168,3,0,2,2,1204,0,0,0
manoharvhr/PYNQ-Torch,https://github.com/manoharvhr/PYNQ-Torch,False,2019-08-20 18:57:11,"['pynq-torch', 'pynq-z1', 'pynq-hardware-overlay', 'pytorch-accelerators', 'pynq-platform', 'rnn', 'pytorch', 'pytorch-implementation']",41,4,5,2,2,VHDL,145727,0,0,1,2,14,0,0,0
AI-for-Ocean-Science/ulmo,https://github.com/AI-for-Ocean-Science/ulmo,False,2021-01-22 17:30:47,[],7,3,3,0,4,Python,170087,0,0,11,0,1075,0,0,0
davide97l/rl-traingenerator,https://github.com/davide97l/rl-traingenerator,False,2021-01-01 14:56:37,"['traingenerator', 'streamlit', 'reinforcement-learning', 'dqn', 'gym', 'automatic-code-generation', 'pytorch', 'tianshou']",8,1,0,0,1,Python,16672,1,0,1,0,15,0,0,0
wyu97/permgen,https://github.com/wyu97/permgen,False,2021-04-17 03:29:51,['natural-language-generation'],37,2,5,0,1,Python,70501,0,0,1,0,16,0,0,0
codeKgu/BiLevel-Graph-Neural-Network,https://github.com/codeKgu/BiLevel-Graph-Neural-Network,False,2020-06-11 16:28:05,"['graph-convolutional-networks', 'graph-attention-networks', 'drug-drug-interaction', 'icml', 'covid-19', 'drugbank', 'graph-neural-networks', 'deep-learning', 'representation-learning']",24,4,6,0,1,Python,9788,0,0,1,0,9,0,0,0
Distributed-AI/PipeTransformer,https://github.com/Distributed-AI/PipeTransformer,False,2021-06-09 18:26:23,[],42,2,10,0,3,Python,37629,1,0,2,0,716,0,0,0
Adapter-Hub/adapter-transformers,https://github.com/adapter-hub/adapter-transformers,False,2020-04-21 16:21:43,"['nlp', 'natural-language-processing', 'adapters', 'transformers', 'bert', 'pytorch']",1073,19,188,12,431,Python,72241,45,6,3,14,10966,0,0,51
