Repo,Link,Archived,Creation Date,Description,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
BenWilson2/ML-Engineering,https://github.com/BenWilson2/ML-Engineering,False,2020-11-18 01:42:31,"Reference code base for ML Engineering, Manning Publications",[],46,4,11,0,1,Jupyter Notebook,45203,2,0,1,0,20,0,0,0
kajyuuen/allennlp-book,https://github.com/kajyuuen/allennlp-book,False,2020-03-03 07:50:12,本リポジトリは「AllenNLP入門」のソースコード置き場です。,"['allennlp', 'nlp']",38,3,4,0,1,Python,766,1,1,2,0,6,0,0,0
datarootsio/tutorial-mlops,https://github.com/datarootsio/tutorial-mlops,False,2022-05-02 20:05:01,MLOps exercise material.,[],16,6,2,0,3,Jupyter Notebook,5824,0,0,1,0,10,0,0,0
ediziks/EPITA-DSA-Notes,https://github.com/ediziks/EPITA-DSA-Notes,False,2022-02-16 11:43:44,"Notes, materials and all related works I've done while pursuing MSc Data Science & Analytics at EPITA","['epita', 'data-science', 'analytics', 'masters']",11,1,2,0,1,Jupyter Notebook,732175,0,0,1,0,254,0,0,0
criteo/mlflow-yarn,https://github.com/criteo/mlflow-yarn,False,2020-07-15 15:01:14,Backend implementation for running MLFlow projects on Hadoop/YARN.,[],8,10,4,0,1,Python,56,1,0,2,1,21,0,0,0
nkennek/softtriple_pytorch,https://github.com/nkennek/softtriple_pytorch,False,2019-09-19 09:05:06,Unofficial implementation of `SoftTriple Loss: Deep Metric Learning Without Triplet Sampling`,[],6,2,0,0,1,Python,143,6,6,7,0,5,0,0,0
shengliu66/ELR,https://github.com/shengliu66/ELR,False,2020-06-24 00:00:12,Official Implementation of Early-Learning Regularization Prevents Memorization of Noisy Labels,"['noisy-labels', 'robust-learning', 'deep-learning', 'statistical-learning']",221,9,29,0,2,Python,5167,3,3,4,0,129,0,0,0
adipolak/ms-build-e2e-ml-bigdata,https://github.com/adipolak/ms-build-e2e-ml-bigdata,False,2020-05-12 09:24:28,This repository contains tutorials and resources for you to reproduce Microsoft Build 2020 session -  Building an End-to-End ML Pipeline for Big Data​,[],17,7,6,0,2,Python,19360,5,5,1,0,30,0,0,0
eric-vader/HD-BO-Additive-Models,https://github.com/eric-vader/HD-BO-Additive-Models,False,2020-12-17 02:45:45,Accompanying code for AAAI 2021 publication - High-Dimensional Bayesian Optimization via Tree-Structured Additive Models,[],8,2,1,0,1,Python,10909,0,0,1,0,14,0,0,0
MisterMap/undeepvo,https://github.com/MisterMap/undeepvo,False,2020-05-25 13:58:41,Realization of UnDeepVO method,[],9,4,11,0,5,Jupyter Notebook,5719,8,2,2,0,300,0,0,0
TeoMeWhy/churn-sub,https://github.com/TeoMeWhy/churn-sub,False,2022-07-05 12:42:01,Repo para modelagem preditiva de churn de assinaturas da Gamers Club,[],25,2,24,0,1,Python,36,2,1,1,0,18,0,0,0
pycaret/mlopsworld2021,https://github.com/pycaret/mlopsworld2021,False,2021-06-14 14:43:04,mlopsworld2021,[],12,0,5,0,0,Jupyter Notebook,18686,0,0,1,0,4,0,0,0
manifoldai/orbyter-demo-old,https://github.com/manifoldai/orbyter-demo-old,False,2019-09-12 03:09:59,,[],8,4,1,1,2,Jupyter Notebook,292,1,1,13,1,53,0,0,0
