Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
Evgeneus/Label-Smoothing-in-Text-Classification,https://github.com/Evgeneus/Label-Smoothing-in-Text-Classification,False,2020-01-24 15:36:17,"['label-smoothing', 'soft-targets', 'crowd-votes', 'nlp', 'transformer', 'label-distribution', 'machine-learning', 'text-classification', 'document-management', 'calibration', 'crowd-labels']",7,2,0,0,2,Python,118914,0,0,2,0,140,0,0,0
mindspore-ai/mindspore,https://github.com/mindspore-ai/mindspore,False,2020-02-11 08:43:48,[],3203,150,599,0,92,C++,677803,123,17,20,28,56669,0,0,0
kohpangwei/group-influence-release,https://github.com/kohpangwei/group-influence-release,False,2019-05-30 19:48:31,[],41,6,8,0,2,Python,6263,6,2,4,0,33,0,0,0
rpgoldman/xmls,https://github.com/rpgoldman/xmls,False,2020-02-13 02:24:30,[],15,2,3,0,5,Common Lisp,190,2,0,3,2,155,0,0,0
wadehennessey/wcl,https://github.com/wadehennessey/wcl,False,2015-08-29 21:31:46,[],68,13,8,0,1,Common Lisp,90780,4,0,1,0,82,0,0,0
NCAR/geocat-comp,https://github.com/NCAR/geocat-comp,False,2019-07-15 17:44:03,"['ncl', 'python', 'geocat', 'geocat-comp']",89,12,42,18,15,Python,24478,45,5,14,18,1279,1,0,0
futurulus/colors-in-context,https://github.com/futurulus/colors-in-context,False,2018-03-11 06:53:33,[],10,1,0,0,6,OpenEdge ABL,53896,0,0,1,0,819,0,0,0
micans/mcl,https://github.com/micans/mcl,False,2021-04-08 17:13:00,"['clustering', 'markov-clustering', 'network-analysis', 'network-clustering', 'graph-clustering', 'markov-cluster-algorithm', 'mcl']",33,3,7,0,2,C,2585,0,0,4,0,246,0,0,0
dodger487/scrape_hn,https://github.com/dodger487/scrape_hn,False,2017-05-13 20:17:05,[],51,6,9,0,2,Shell,151560,0,0,1,0,73,2,0,0
efabless/proton,https://github.com/efabless/proton,False,2016-10-25 02:16:52,[],27,16,11,0,4,Perl,43511,8,2,1,0,126,0,0,0
stanfordnlp/stanza-old,https://github.com/stanfordnlp/stanza-old,False,2015-10-27 19:45:02,"['python', 'nlp', 'text-analysis', 'text-processing', 'natural-language-processing']",142,40,38,2,5,Python,392,1,0,4,3,323,0,0,0
hpcc-systems/helm-chart,https://github.com/hpcc-systems/helm-chart,False,2020-03-20 12:09:07,[],8,10,22,0,4,Smarty,63086,1,1,5,99,705,0,0,705
luohancfd/CFCFD-NG,https://github.com/luohancfd/CFCFD-NG,False,2018-03-12 20:14:11,[],9,3,4,0,9,Python,406419,0,0,2,0,2578,0,0,0
