Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
avast/wanna-ml,https://github.com/avast/wanna-ml,False,2022-06-17 07:07:01,2022-02-01 10:39:26,2022-11-18 06:52:00,[],9,4,3,17,4,Python,1739,69,69,17,473,0,53
googleapis/google-cloud-java,https://github.com/googleapis/google-cloud-java,False,2014-11-04 17:57:16,2015-02-17 17:26:49,2022-11-21 21:05:29,"['java', 'cloud-bigquery', 'cloud-storage', 'cloud-datastore', 'google-cloud', 'artisanal']",1667,179,1052,432,165,Java,449354,8617,6416,94,58723,60,127
deep-diver/Continuous-Adaptation-for-Machine-Learning-System-to-Data-Changes,https://github.com/deep-diver/Continuous-Adaptation-for-Machine-Learning-System-to-Data-Changes,False,2021-09-14 07:05:08,2021-09-14 07:05:09,2021-12-10 02:21:25,"['tfx', 'mlops', 'tensorflow', 'machine-learning', 'pipeline']",20,4,6,0,2,Jupyter Notebook,5409,21,7,4,120,0,0
GoogleCloudPlatform/data-analytics-golden-demo,https://github.com/GoogleCloudPlatform/data-analytics-golden-demo,False,2022-04-18 18:40:22,2022-04-18 19:10:28,2022-11-17 16:19:52,"['bigquery', 'composer', 'dataflow', 'bigdata', 'dataproc', 'gcp']",50,5,16,0,4,Python,64002,28,26,1,42,0,0
GoogleCloudPlatform/bigquery-notebooks,https://github.com/GoogleCloudPlatform/bigquery-notebooks,False,2021-07-01 21:06:23,2021-07-01 21:24:10,2022-08-23 17:45:50,[],15,5,10,0,2,Jupyter Notebook,5087,23,23,5,112,0,0
GoogleCloudPlatform/vertex-ai-alphafold-inference-pipeline,https://github.com/GoogleCloudPlatform/vertex-ai-alphafold-inference-pipeline,False,2022-06-06 17:24:42,2022-06-06 17:57:22,2022-11-15 23:05:02,[],23,13,6,0,2,Python,5829,19,8,1,69,1,0
anabild/mlops,https://github.com/anabild/mlops,False,2021-12-28 20:20:48,2022-05-25 20:20:44,2022-05-25 20:20:44,[],8,1,6,0,0,Jupyter Notebook,41,0,0,1,1,0,0
KaiquanMah/Training,https://github.com/KaiquanMah/Training,False,2019-01-08 13:48:01,2019-01-08 13:51:14,2022-10-21 01:28:06,"['python', 'datascience']",7,2,4,0,1,Jupyter Notebook,399110,1,0,1,4497,1,0
fuzzylabs/vertex-edge,https://github.com/fuzzylabs/vertex-edge,False,2021-06-25 09:59:15,2021-06-25 09:59:16,2021-11-15 15:42:39,"['machine-learning', 'deep-learning', 'google-cloud-platform', 'mlops', 'ai', 'gcp', 'ml-infrastructure', 'vertex-edge']",24,3,11,0,3,Python,4293,49,20,2,128,0,0
kubeflow/pipelines,https://github.com/kubeflow/pipelines,False,2018-05-12 00:31:47,2018-05-12 00:31:48,2022-11-22 00:26:41,"['kubeflow-pipelines', 'mlops', 'kubeflow', 'machine-learning', 'kubernetes', 'pipeline', 'data-science']",3042,104,1341,114,325,Python,321220,8469,5436,215,4617,51,4
srivatsan88/google_cloud_AI_ML,https://github.com/srivatsan88/google_cloud_AI_ML,False,2021-01-09 23:28:56,2021-01-09 23:28:57,2021-02-28 22:24:45,[],91,3,59,0,1,Jupyter Notebook,8920,0,0,1,44,0,0
Ark-kun/pipeline_components,https://github.com/Ark-kun/pipeline_components,False,2020-05-17 07:27:15,2019-02-25 09:31:48,2022-11-07 18:56:02,"['kubeflow-pipelines', 'machine-learning', 'kfp', 'pipelines', 'cloud-pipelines', 'ml-pipelines', 'mlops']",9,2,4,0,1,Python,822,0,0,4,244,0,0
