Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
pm3310/hotel-recommender-system,https://github.com/pm3310/hotel-recommender-system,False,2019-08-03 16:17:08,2019-08-03 16:17:08,2020-06-13 11:05:10,"['recommender-system', 'aws-sagemaker', 'gensim', 'word2vec', 'embeddings', 'travel']",18,4,1,0,1,Jupyter Notebook,32,0,0,1,4,0,0
giuseppeporcelli/end-to-end-ml-sm,https://github.com/giuseppeporcelli/end-to-end-ml-sm,False,2020-03-24 15:44:57,2020-03-24 15:55:25,2021-04-17 17:08:19,"['machine-learning', 'amazon-sagemaker', 'feature-engineering', 'sagemaker-processing', 'sagemaker-deployment', 'sagemaker-example']",26,2,12,0,2,Jupyter Notebook,12625,2,2,1,46,0,0
aws-samples/reinvent2021-aim408-high-performance-cost-effective-model-deployment-amazon-sagemaker,https://github.com/aws-samples/reinvent2021-aim408-high-performance-cost-effective-model-deployment-amazon-sagemaker,False,2021-11-23 01:20:03,2021-11-23 01:20:04,2022-04-12 22:50:49,"['sagemaker', 'sagemaker-deployment', 'load-testing', 'amazon-web-services', 'machine-learning', 'amazon-sagemaker', 'cloudwatch', 'amazon-cloudwatch']",6,20,3,0,2,Jupyter Notebook,2351,2,1,2,16,0,0
rshyamsundar/gluonts-hierarchical-ICML-2021,https://github.com/rshyamsundar/gluonts-hierarchical-ICML-2021,False,2021-07-08 16:22:39,2021-07-08 16:45:52,2021-10-09 18:07:00,[],23,3,14,0,2,Python,2936,10,5,2,22,0,0
ScalarPy/AWS-Sagemaker-Deploy,https://github.com/ScalarPy/AWS-Sagemaker-Deploy,False,2020-02-25 14:45:10,2020-02-25 14:45:11,2021-04-15 06:49:20,[],11,2,24,0,2,Jupyter Notebook,9,1,1,1,6,0,0
giuseppeporcelli/end-to-end-ml-application,https://github.com/giuseppeporcelli/end-to-end-ml-application,False,2019-08-21 15:38:54,2019-08-21 15:38:55,2019-09-22 14:41:27,[],9,5,6,0,2,Jupyter Notebook,7194,0,0,1,46,0,0
acannistra/planet-snowcover,https://github.com/acannistra/planet-snowcover,False,2018-01-25 00:11:48,2018-01-24 23:57:44,2021-03-11 17:32:03,"['planet-labs', 'computer-vision', 'cloud-native']",20,5,6,0,1,Jupyter Notebook,281110,31,19,9,471,0,0
aboavent/ai-ml-bb-2021,https://github.com/aboavent/ai-ml-bb-2021,False,2021-10-29 18:11:00,2021-10-29 18:11:01,2021-11-17 16:52:33,[],7,3,1,0,3,Jupyter Notebook,95984,2,1,1,133,0,0
Kenza-AI/sagify,https://github.com/Kenza-AI/sagify,False,2018-03-03 13:12:14,2018-03-03 13:12:15,2022-07-14 14:59:17,"['sagemaker', 'machine-learning', 'python', 'aws', 'deep-learning', 'keras', 'tensorflow', 'scikit-learn', 'machine-learning-production', 'machine-learning-deploy', 'deep-learning-deploy', 'deep-learning-production', 'pytorch', 'continuous-deployment', 'continuous-training', 'cd4ml', 'mlops', 'huggingface', 'xgboost', 'ml-infrastructure']",381,16,58,0,7,Python,37621,144,95,6,537,0,37
TRoboto/Udacity,https://github.com/TRoboto/Udacity,False,2020-05-01 06:29:01,2020-05-01 06:29:02,2020-10-04 16:38:22,"['projects', 'udacity', 'udacity-nanodegree', 'udacity-machine-learning-nanodegree', 'udacity-deep-learning', 'udacity-course', 'udacity-computer-vision-nanodegree', 'udacity-artificial-intelligence', 'udacity-intel-ai-iot-developers', 'udacity-natural-language-processing', 'healthcare', 'healthcare-application', 'udacity-ai-for-healthcare', 'udacity-cplusplus-nanodegree', 'image-captioning', 'yolov4', 'slam-algorithms', 'facial-keypoints-cnn', 'sudoku-solver', 'part-of-speech-tagger']",56,2,54,0,2,Jupyter Notebook,1386710,68,68,38,459,0,0
aws-samples/medical-image-search,https://github.com/aws-samples/medical-image-search,False,2020-07-09 01:30:08,2020-07-09 01:30:09,2022-01-31 02:48:39,[],15,9,5,0,2,JavaScript,4135,0,0,1,28,0,0
GoogleCloudPlatform/training-data-analyst,https://github.com/GoogleCloudPlatform/training-data-analyst,False,2016-04-17 21:39:27,2016-04-17 21:44:39,2022-11-16 19:41:04,[],6423,268,5156,0,166,Jupyter Notebook,708419,2131,1961,156,7210,28,0
